Sequence,DELF [kp:256; match:nn],SuperPoint [kp:256; match:nn]
BM,0.0003722222222222222,0.15047500000000003
FCS,0.0074416666666666685,0.02801111111111112
LMS,0.023913888888888887,0.33427777777777784
LB,0.03602499999999999,0.3984111111111111
MC,0.01654166666666667,0.018808333333333337
MR,0.006225000000000001,0.1558194444444444
PSM,0.0,0.0002916666666666666
RS,0.04170277777777778,0.16204722222222218
SF,0.0,0.21786111111111123
SPC,0.0008861111111111112,0.17421666666666671
USC,0.028630555555555548,0.0023444444444444446
Avg,0.014703535353535354,0.14932398989898993
